UBI	EAN	Lote	Caducidad	Piezas
11-2-11	7501125195372	D111004	11.2014	360
11-2-12	7501125195372	D082880	8.2015	408
11-2-13	7501125195372	D082880	8.2015	360
11-2-14	7501125195372	D082880	8.2015	360
11-2-15	7501125195372	D082880	8.2015	360
11-2-16	7501125195372	D082880	8.2015	360
11-2-17	7501125195372	D062655	6.2015	360
11-2-18	7501125195372	D082880	8.2015	360
11-2-19	7501125195372	D082880	8.2015	360
11-2-20	7501125195372	D082880	8.2015	360
11-2-21	7501125195372	D062655	6.2015	219
11-3-10	7501125195372	D042517	4.2015	360
11-3-11	7501125195372	D032429	3.2015	360
11-3-12	7501125195372	D082880	8.2015	360
11-3-13	7501125195372	D111004	11.2015	360
11-3-14	7501125195372	D062655	6.2015	240
11-3-14	7501125195372	D082880	8.2015	120
11-3-15	7501125195372	D082880	8.2015	360
11-3-16	7501125195372	D082880	8.2015	360
11-3-17	7501125195372	D11004	11.2014	120
11-3-17	7501125195372	D082880	8.2015	240
11-3-18	7501125195372	D082880	8.2015	360
11-3-19	7501125195372	D032429	3.2015	240
11-3-19	7501125195372	D0111004	11.2014	120
11-3-20	7501125195372	D052644	5.2015	360
11-3-21	7501125195372	D062655	6.2015	360
11-3-22	7501125195372	D1110004	11.2014	360
11-4-10	7501125195372	D042517	4.2015	360
